Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Kyrgyzstan,Europe,88931,1363,2,0,2,1024,16,0,0,0
Cabo Verde,Africa,64474,11596,0,0,0,416,75,0,0,0
Nauru,Western Pacific,5393,49778,0,0,0,1,9,0,0,0
Grenada,Americas,19693,17501,0,0,0,238,212,0,0,0
Bermuda,Americas,18860,30286,0,0,0,165,265,0,0,0
Dominica,Americas,16038,22278,0,0,0,74,103,0,0,0
Latvia,Europe,977068,51218,0,0,0,7430,389,0,0,0
Tokelau,Western Pacific,80,5926,0,0,0,0,0,0,0,0
Eswatini,Africa,75189,6481,0,0,0,1427,123,0,0,0
Belize,Americas,71373,17950,0,0,0,688,173,0,0,0
Mauritania,Africa,63768,1371,0,0,0,997,21,0,0,0
Bahamas,Americas,38084,9685,0,0,0,844,215,0,0,0
Zimbabwe,Africa,265975,1790,0,0,0,5730,39,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7625292,9078,132,0,132,146751,175,10,0,10
Malawi,Africa,89168,466,0,0,0,2686,14,0,0,0
Senegal,Africa,89033,532,0,0,0,1971,12,0,0,0
Uganda,Africa,171888,376,0,0,0,3632,8,0,0,0
Ghana,Africa,171834,553,0,0,0,1462,5,0,0,0
Bolivia (Plurinational State of),Americas,1210892,10373,459,4,459,22385,192,0,0,0
Netherlands (Kingdom of the),Europe,8625002,49547,1792,10,1792,22986,132,0,0,0
Lao People's Democratic Republic,Western Pacific,218903,3009,0,0,0,671,9,0,0,0
Venezuela (Bolivarian Republic of),Americas,552695,1944,0,0,0,5856,21,0,0,0
Brunei Darussalam,Western Pacific,326275,74581,5040,1152,5040,170,39,2,0,2
United States of America,Americas,103436829,31250,0,0,0,1144877,346,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57423,328,0,0,0,3163,18,0,0,0
Indonesia,South-East Asia,6819830,2493,2676,1,2676,161954,59,24,0,24
Ethiopia,Africa,501117,436,0,0,0,7574,7,0,0,0
Other,,5,,0,,0,0,,0,,0
Afghanistan,Eastern Mediterranean,229990,591,304,1,304,7970,20,4,0,4
Cook Islands,Western Pacific,7174,40845,0,0,0,2,11,0,0,0
Romania,Europe,3506538,18141,1668,9,1668,68620,355,9,0,9
Maldives,South-East Asia,186694,34538,0,0,0,316,58,0,0,0
Ireland,Europe,1727111,34790,709,14,709,9388,189,12,0,12
Argentina,Americas,10074753,22291,0,0,0,130685,289,0,0,0
Canada,Americas,4748951,12583,824,2,824,53532,142,0,0,0
South Africa,Africa,4072636,6867,0,0,0,102595,173,0,0,0
Other,,4,,0,,0,0,,0,,0
Pitcairn,,4,8000,0,0,0,0,0,0,0,0
Norway,Europe,1497010,27890,2042,38,2042,5732,107,0,0,0
Cambodia,Western Pacific,138978,831,0,0,0,3056,18,0,0,0
Puerto Rico,Americas,1252713,43788,0,0,0,5938,208,0,0,0
Yemen,Eastern Mediterranean,11945,40,0,0,0,2159,7,0,0,0
Nepal,South-East Asia,1003450,3444,0,0,0,12031,41,0,0,0
Other,,712,,0,,0,13,,0,,0
Other,,29,,0,,0,0,,0,,0
Other,,12,,0,,0,0,,0,,0
Other,,2,,0,,0,0,,0,,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,0,0,0,5708,112,0,0,0
Global,,7.73119171E8,4747910.0,259104.0,2333.0,259104.0,6990067.0,29188.0,1248.0,9.0,1248.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,0,0,0,3212,179,0,0,0
Sweden,Europe,2741034,26541,2937,28,2937,25951,251,223,2,223
New Zealand,Western Pacific,2440375,50607,6323,131,6323,3596,75,0,0,0
Russian Federation,Europe,23576556,16156,96903,66,96903,400935,275,164,0,164
Micronesia (Federated States of),Western Pacific,26547,23080,0,0,0,65,57,0,0,0
Italy,Europe,26495903,44425,62391,105,62391,193743,325,324,1,324
United Arab Emirates,Eastern Mediterranean,1067030,10789,0,0,0,2349,24,0,0,0
Ecuador,Americas,1066409,6044,0,0,0,36036,204,0,0,0
Australia,Western Pacific,11698780,45878,0,0,0,23915,94,0,0,0
Viet Nam,Western Pacific,11624000,11942,0,0,0,43206,44,0,0,0
Egypt,Eastern Mediterranean,516023,504,0,0,0,24830,24,0,0,0
Malaysia,Western Pacific,5160116,15943,0,0,0,37218,115,0,0,0
Saint Vincent and the Grenadines,Americas,9674,8720,0,0,0,124,112,0,0,0
Guinea-Bissau,Africa,9614,489,0,0,0,177,9,0,0,0
United States Virgin Islands,Americas,25389,24313,0,0,0,132,126,0,0,0
San Marino,Europe,25292,74524,0,0,0,126,371,0,0,0
Northern Mariana Islands,Western Pacific,14334,24904,0,0,0,41,71,0,0,0
Montserrat,Americas,1403,28066,0,0,0,8,160,0,0,0
Falkland Islands (Malvinas),,1923,55211,0,0,0,0,0,0,0,0
Trinidad and Tobago,Americas,191496,13683,0,0,0,4390,314,0,0,0
Sao Tome and Principe,Africa,6729,3070,0,0,0,80,37,0,0,0
Sri Lanka,South-East Asia,672679,3141,18,0,18,16888,79,2,0,2
Belarus,Europe,994037,10520,0,0,0,7118,75,0,0,0
Democratic Republic of the Congo,Africa,99333,111,0,0,0,1468,2,0,0,0
Austria,Europe,6081287,68321,0,0,0,22534,253,0,0,0
Estonia,Europe,605758,45581,808,61,808,2949,222,15,1,15
Lesotho,Africa,36132,1687,0,0,0,709,33,0,0,0
Wallis and Futuna,Western Pacific,3550,31567,0,0,0,8,71,0,0,0
Cayman Islands,Americas,31472,47888,0,0,0,37,56,0,0,0
Saint Lucia,Americas,30209,16451,0,0,0,410,223,0,0,0
Gibraltar,,20550,60996,0,0,0,113,335,0,0,0
Bangladesh,South-East Asia,2046207,1242,42,0,42,29477,18,0,0,0
Rwanda,Africa,133208,1028,0,0,0,1468,11,0,0,0
Bulgaria,Europe,1316751,18942,1330,19,1330,38548,555,9,0,9
United Republic of Tanzania,Africa,43223,72,0,0,0,846,1,0,0,0
Mayotte,,42027,15405,0,0,0,187,69,0,0,0
Eritrea,Africa,10189,287,0,0,0,103,3,0,0,0
Mongolia,Western Pacific,1011388,30851,0,0,0,2284,70,0,0,0
Curaçao,Americas,45883,27962,0,0,0,305,186,0,0,0
Peru,Americas,4530620,13741,0,0,0,221575,672,0,0,0
Luxembourg,Europe,388257,62011,790,126,790,1000,160,0,0,0
Guinea,Africa,38572,294,0,0,0,468,4,0,0,0
Cameroon,Africa,125137,471,0,0,0,1974,7,0,0,0
Guatemala,Americas,1250304,6979,0,0,0,20201,113,0,0,0
Malta,Europe,120807,23478,40,8,40,886,172,1,0,1
Vanuatu,Western Pacific,12019,3913,0,0,0,14,5,0,0,0
United Kingdom of Great Britain and Northern Ireland,Europe,24812582,36550,0,0,0,232112,342,0,0,0
Georgia,Europe,1855289,46508,0,0,0,17132,429,0,0,0
Tajikistan,Europe,17786,186,0,0,0,125,1,0,0,0
Ukraine,Europe,5520483,12623,0,0,0,109918,251,0,0,0
Honduras,Americas,472743,4773,0,0,0,11114,112,0,0,0
France,Europe,38997490,59960,0,0,0,167985,258,0,0,0
Montenegro,Europe,251280,40009,0,0,0,2654,423,0,0,0
Tonga,Western Pacific,16888,15978,0,0,0,12,11,0,0,0
Lithuania,Europe,1359230,48647,0,0,0,9773,350,0,0,0
Uruguay,Americas,1041111,29971,0,0,0,7660,221,0,0,0
Suriname,Americas,82506,14064,0,0,0,1404,239,0,0,0
Fiji,Western Pacific,69047,7702,0,0,0,885,99,0,0,0
Bhutan,South-East Asia,62697,8125,0,0,0,21,3,0,0,0
Chile,Americas,5327046,27867,0,0,0,62136,325,0,0,0
Armenia,Europe,451353,15232,81,3,81,8776,296,1,0,1
Spain,Europe,13980340,29536,0,0,0,121852,257,0,0,0
Qatar,Eastern Mediterranean,514524,17859,0,0,0,690,24,0,0,0
Libya,Eastern Mediterranean,507269,7382,0,0,0,6437,94,0,0,0
Singapore,Western Pacific,2827115,48324,0,0,0,1933,33,0,0,0
Central African Republic,Africa,15440,320,0,0,0,113,2,0,0,0
Slovenia,Europe,1351140,64467,1118,53,1118,9637,460,56,3,56
Antigua and Barbuda,Americas,9106,9299,0,0,0,146,149,0,0,0
Myanmar,South-East Asia,641422,1179,29,0,29,19494,36,0,0,0
Oman,Eastern Mediterranean,399449,7822,0,0,0,4628,91,0,0,0
Somalia,Eastern Mediterranean,27334,172,0,0,0,1361,9,0,0,0
